,Title,Year,Box Office,Rotten Tomatoes,Franchise
0,Superman,1978,134478449,88,DC
1,Superman II,1980,108185706,88,DC
2,Superman III,1983,59950623,31,DC
3,Superman IV: The Quest for Peace,1987,15681020,15,DC
4,Batman,1989,251409241,77,DC
5,Batman Returns,1992,162924631,82,DC
6,Batman Forever,1995,184069126,41,DC
7,Batman & Robin,1997,107353792,11,DC
8,Catwoman,2004,40202379,8,DC
9,Constantine,2005,75976178,46,DC
10,Batman Begins,2005,206863479,85,DC
11,Superman Returns,2006,200081192,72,DC
12,The Dark Knight,2008,534987076,94,DC
13,Watchmen,2009,107509799,64,DC
14,Green Lantern,2011,116601172,26,DC
15,The Dark Knight Rises,2012,448149584,87,DC
16,Man of Steel,2013,291045518,57,DC
17,Batman v Superman: Dawn of Justice,2016,330360194,28,DC
18,Suicide Squad,2016,325100054,26,DC
19,Wonder Woman,2017,412845172,93,DC
20,Justice League,2017,229024295,39,DC
21,Aquaman,2018,335104314,66,DC
22,Shazam!,2019,140480049,90,DC
23,Joker,2019,335477657,68,DC
24,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,84172791,79,DC
25,Wonder Woman 1984,2020,46801036,57,DC
26,The Suicide Squad,2021,55817425,90,DC
27,The Batman,2022,369345583,85,DC
28,Black Adam,2022,168152111,39,DC
29,Shazam! Fury of the Gods,2023,57638006,49,DC
30,The Flash,2023,108133313,63,DC
31,Blue Beetle,2023,72488072,78,DC
32,Aquaman and the Lost Kingdom,2023,124481226,33,DC
33,Joker: Folie à Deux,2024,58300287,31,DC
34,Superman,2025,353980047,83,DC
