brand,Title,Year,BoxOffice
DC,The Dark Knight,2008,534987076
DC,Wonder Woman,2017,412845172
DC,Teen Titans GO! To the Movies,2018,29790236
DC,Shazam!,2019,140480049
DC,The Suicide Squad,2021,55817425
DC,The Lego Batman Movie,2017,175936671
DC,A History of Violence,2005,31504633
DC,Superman II,1980,108185706
DC,The Dark Knight Rises,2012,448149584
DC,The Batman,2022,369345583
DC,Batman Begins,2005,206863479
DC,Batman: Mask of the Phantasm,1993,5635204
DC,Superman,2025,353980047
DC,Road to Perdition,2002,104454762
DC,Batman Returns,1992,162924631
DC,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,84172791
DC,Blue Beetle,2023,72488072
DC,Batman,1989,251409241
DC,Superman Returns,2006,200081192
DC,V for Vendetta,2005,70511035
DC,RED,2010,90380162
DC,DC League of Super-Pets,2022,93657117
DC,Joker,2019,335477657
DC,Aquaman,2018,335104314
DC,Watchmen,2009,107509799
DC,The Flash,2023,108133313
DC,Wonder Woman 1984,2020,46801036
DC,Man of Steel,2013,291045518
DC,The Return of Swamp Thing,1989,192816
DC,Shazam! Fury of the Gods,2023,57638006
DC,The Losers,2010,23591432
DC,Constantine,2005,75976178
DC,RED 2,2013,53262560
DC,Batman Forever,1995,184069126
DC,Justice League,2017,229024295
DC,Black Adam,2022,168152111
DC,Batman: The Killing Joke,2016,3775000
DC,Aquaman and the Lost Kingdom,2023,124481226
DC,Joker: Folie à Deux,2024,58300287
DC,Superman III,1983,59950623
DC,Batman v Superman: Dawn of Justice,2016,330360194
DC,Suicide Squad,2016,325100054
DC,Green Lantern,2011,116601172
DC,The Kitchen,2019,12180032
DC,Catwoman,2004,40202379
DC,Jonah Hex,2010,10547117
DC,Steel,1997,1710972
DC,Superman IV: The Quest for Peace,1987,15681020
DC,Batman & Robin,1997,107353792
DC,Batman & Robin,1997,107353792
Marvel,Howard the Duck,1986,16295774
Marvel,Daredevil,2003,102543518
Marvel,Elektra,2005,24409722
Marvel,The Punisher,2004,33810189
Marvel,Punisher: War Zone,2008,8050977
Marvel,Ghost Rider,2007,115802596
Marvel,Blade,1998,70087718
Marvel,Blade II,2002,82348319
Marvel,Blade: Trinity,2004,52411906
Marvel,X-Men,2000,157299718
Marvel,X2: X-Men United,2003,214949694
Marvel,X-Men: The Last Stand,2006,234362462
Marvel,X-Men Origins: Wolverine,2009,179883157
Marvel,X-Men: First Class,2011,146408305
Marvel,The Wolverine,2013,132556852
Marvel,X-Men: Days of Future Past,2014,233921534
Marvel,Deadpool,2016,363070709
Marvel,X-Men: Apocalypse,2016,155442489
Marvel,Logan,2017,226277068
Marvel,Deadpool 2,2018,324591735
Marvel,X-Men: Dark Phoenix,2019,65845974
Marvel,The New Mutants,2020,23852659
Marvel,Spider-Man,2002,407774549
Marvel,Spider-Man 2,2004,375087840
Marvel,Spider-Man 3,2007,337281992
Marvel,The Amazing Spider-Man,2012,262782352
Marvel,The Amazing Spider-Man 2,2014,203605622
Marvel,Venom,2018,213515506
Marvel,Venom: Let There Be Carnage,2021,213550366
Marvel,Morbius,2022,73865530
Marvel,Madame Web,2024,43817106
Marvel,Venom: The Last Dance,2024,139755882
Marvel,Kraven the Hunter,2024,25026310
Marvel,Iron Man,2008,319034126
Marvel,The Incredible Hulk,2008,134806913
Marvel,Iron Man 2,2010,312433331
Marvel,Thor,2011,181030624
Marvel,Captain America: The First Avenger,2011,176654505
Marvel,The Avengers,2012,623357910
Marvel,Iron Man 3,2013,409013994
Marvel,Thor: The Dark World,2013,206362140
Marvel,Captain America: The Winter Soldier,2014,259766572
Marvel,Guardians of the Galaxy,2014,333718600
Marvel,Avengers: Age of Ultron,2015,459005868
Marvel,Ant-Man,2015,180202163
Marvel,Captain America: Civil War,2016,408084349
Marvel,Doctor Strange,2016,232641920
Marvel,Guardians of the Galaxy Vol. 2,2017,389813101
Marvel,Spider-Man: Homecoming,2017,334952829
Marvel,Thor: Ragnarok,2017,315058289
Marvel,Black Panther,2018,700426566
Marvel,Avengers: Infinity War,2018,678815482
Marvel,Ant-Man and the Wasp,2018,216648740
Marvel,Captain Marvel,2019,426829839
Marvel,Avengers: Endgame,2019,858373000
Marvel,Spider-Man: Far from Home,2019,391283774
Marvel,Black Widow,2021,183651655
Marvel,Shang-Chi and the Legend of the Ten Rings,2021,224543292
Marvel,Eternals,2021,164870234
Marvel,Spider-Man: No Way Home,2021,814866759
Marvel,Doctor Strange in the Multiverse of Madness,2022,411331607
Marvel,Thor: Love and Thunder,2022,343256830
Marvel,Black Panther: Wakanda Forever,2022,453829060
Marvel,Ant-Man and the Wasp: Quantumania,2023,214504909
Marvel,Guardians of the Galaxy Vol. 3,2023,358995815
Marvel,The Marvels,2023,84500223
Marvel,Deadpool & Wolverine,2024,636745858
Marvel,Captain America: Brave New World,2025,200500001
Marvel,Thunderbolts*,2025,190274328
